,Electronics,Fashion & Accs,Food & Beverages,Health & Beauty,Home & Lifestyle,Sports & Travel
Jan,17934.56,18423.92,18638.6,15603.02,19518.8,20635.26
Feb,16536.1,18104.63,20835.52,14291.11,11842.27,13152.01
Mar,17279.37,15191.35,15784.72,17341.25,19935.99,18710.66
Apr,15986.94,21602.1,28238.65,32326.329999999998,17613.61,16316.25
May,1523.1200000000001,3861.78,30740.29,10451.78,10211.28,4167.53
Jun,2186.02,957.59,2790.07,6167.7,12994.61,3787.42
Jul,1781.34,922.48,3443.49,6409.12,7518.929999999999,2092.67
Aug,1450.02,884.38,3168.85,5789.3,6294.88,1852.72
Sep,16029.27,4498.9400000000005,7248.74,15016.07,19274.66,14822.39
Oct,15170.92,6064.13,5705.45,13657.07,20032.25,12021.82
Nov,19620.79,6934.9800000000005,8598.23,14000.03,29288.87,22974.73
Dec,33760.65,4397.63,6165.12,17517.83,22734.41,33719.48
